File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\node.js,createWritableStdioStream(fd),59,37,27,7,11,0,11,86,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\node.js,init(debug),7,6,6,1,1,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\README.md,"[options]); ```  **qs** allows you to create nested objects within your query strings, by surrounding the name of sub-keys with square brackets `[]`. For example, the string `'foo[bar]=baz'` converts to:  ```javascript assert.deepEqual(qs.parse('foo[bar]=baz')",4,4,2,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\parse.js,"parseQueryStringValues(str, options)",24,21,19,4,3,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\parse.js,"parseObjectRecursive(chain, val, options)",30,27,19,5,3,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\parse.js,"parseQueryStringKeys(givenKey, val, options)",53,32,24,9,13,0,8,53,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\parse.js,"function(str, opts)",35,27,27,5,7,0,1,9,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\stringify.js,stringify( ,77,68,33,14,9,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\stringify.js,"function(object, opts)",83,70,49,11,13,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\utils.js,"function(target, source, options)",53,46,36,17,7,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\utils.js,function(str),6,6,5,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\utils.js,function(str),47,37,23,8,8,8,2,35,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\utils.js,"function(obj, references)",33,26,21,9,7,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\utils.js,function(obj),2,2,2,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\utils.js,function(obj),6,5,4,3,1,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,function(st),3,3,4,0,0,0,0,0,
